,HELBIDEA/DIRECCION
1559,CM TORREKOLANDA BIDEA 10
1560,CM BASOTXU BIDEA 26
1561,CM ARANA BIDEA 5-B
1562,CL GORRONDATXE BIDEA 5
1563,"SAN MARTIN KALEA 11, 4º"
1564,"ALMIKE AUZOA, 9  "
1565,ALMIKE AUZOA
1566,"ARTIKE AUZOA, ARTIKETXE BASERRIA"
1567,"Bº AGARRE, CASERÍO ETXEBARRI MOTXENA"
1568,DEMIKU AUZOA AUZOA 20  
1569,BERMEO
1570,LUGAR BARRIO ARTIKE 45  
1571,ARENE
1572,ALMIKE AUZOA 21  
1573,ARTIKE AUZOA 21
1574,LUGAR BARRIO ARTIKE 23002  
1575,ARTIKE AUZOA 52
1576,BARRIO ARENE-PELAIO DEUNA 10  
1577,BARATZ EDER 36
1578,"CASERÍO ARTIKETXE, Bº ARTIKA, 16"
1579,ATALDE 17  
1580,"Bº ARENE, ALBAZENE BASERRIA"
1581,"Bº ARENE, ALBAZENE BASERRIA"
1582,ATALDE KALEA 35  
1583,LUGAR BARRIO ALMIKE 3B  
1584,ARENE
1585,BARRIO ARENE-PELAIO DEUNA 37  
1586,ZARRAGOITXI ETA ASKATASUN BIDEA 29 ARTEAN
1587,ATALDE 13
1588,ASKATASUN BIDEA KALEA 39
1589,"IGERTU BASERRIA, AGARRE AUZOA 10"
1590,ARANE GIBELORTZAGA 16
1591,ZABALE BASERRIA
1592,"CASERÍO INTXAUSTI, Bº SAN MIGEL"
1593,Bº ARENE Nº 5
1594,ZARRAGOITXI
1595,ATALDE Z/G  
1596,DEMIKU AUZOA
1597,ARTIKE AUZOA Nº 32
1598,ARTIKE AUZOA 32
1599,"ASKATASUN BIDEA 47, 2ºD"
1600,"MAÑU AUZOA, KORTAEDER"
1601,"Bº SAN MIGEL, CASERÍO ETXEBARRI-ERREKA"
1602,ESKOLA PUBLIKOA
1603,GIBELORRATZAGAKO SAN PELAIO AUZOA 79  
1604,"CASERÍO ERMITXU GOIKOA, Bº SAN MIGUEL"
1605,"PATXOTENE BASERRIA  , Bº ARENE"
1606,ZALDUARAN KALEA 27 (48250)
1607,"Bº ARTIKE, CASERÍO OLA (2)"
1608,"Bº ARTIKE, CASERÍO OLA"
1609,"Bº ARTIKE, FRENTE CASERÍO TORRE"
1610,ELEXALDE
1611,"Bº ARTIKE, CASERÍO TRIBISKOERROTA"
1612,"Bº ARTIKE, CASERÍO TRIBISKOERROTA (2)"
1613,"Bº ARTIKE, CAMINO CASERÍO FRANTXUENE"
1614,"CASERIO ERDIKOETXE, Bº ARENE"
1615,ARITZATXU HONDARTZA ETA TONPOI KALA ARTEAN
1616,"GERNIKA-BERMEO ERREPIDEA, GAINZABALA TUNELAREN HASIERA"
1617,"Bº ALMIKE, JUNTO PROBADERO"
1618,"Bº ARENE, CASERÍO ERDIKO-ETXE"
1619,ALMIKE
1620,"KALEN BASERRIA, ALMIKA AUZOA"
1621,"MAÑU AUZOA, ETXEBARRI BASERRIA"
1622,MAÑU AUZOA
1623,"ARTIKE BIDEA, CASERIO FANDANGUENE"
1624,"Bº AGIRRE, 1"
1625,"PABELLÓN DONDIZ, Bº ARTIKE"
1626,"CARRETERA BERMEO-BAKIO, CASERÍO GIBELE"
1627,"Bº MAÑU, CASERÍO KOMAISTENE"
1628,"CASERÍO BEITXI, Bº ARENE"
1629,ARROYO SAN MARTIN / OFICINAS PEVASA
1630,"Bº MAÑU, CASERÍO KORTAEDER"
1631,Bº AGARRE
1632,"KURTZIO 14, 5º"
1633,"CASERÍO BIDETXE, Bº SAN ANDRES"
1634,"CASERÍO BIDEKOETXE, MATXITXAKO"
1635,MURUETATORRE
1636,"CASERÍO MUNEPE, Bº ARRONATEGI"
1637,"Bº MAÑU, ETXEBARRI BASERRIA"
1638,"CASERÍO ERROTATXU, Bº AGIRRE, 21"
1639,"CASERÍO LANDABASO, Bº ARENE"
1640,PARQUE SAN MIGUEL
1641,"CASERIO SAN MIGUEL, Bº SAN MIGUEL"
1642,"CASERÍO LANDABASO, Bº ARENE"
1643,"CASERÍO SABIN ETXEA, Bº ARANE 21"
1644,MIKEL DEUNA BIDEA 2
1645,ZUBIAUR TAR KEPA
1646,Bº MAÑUAS
1647,ARTIKE AUZOA 21
1648,"CASERIO OLAGORTA, Bº ALMIKE"
1649,"CASERÍO ITURRI ONDO, Bº ARENE"
1650,"CASERIO ETXEBARRI ERREKA, Bº SAN MIGUEL"
1651,"CALLE SAN MARTIN Nº 11, 5º"
1652,NAFARROA BEHEKOA
1653,"CASERÍO PADRU, Bº ARENE"
1654,RESIDENCIA ANCIANOS SANCTI-SPIRITUS
1655,CAMPO DE FUTBOL ITXAS-GANE
1656,ESCALERAS JUNTO ALMIKE BIDEA 6
1657,Bº ARENE
1658,"Bº ARENE, TXABOLA JUNTO CASERÍO LANDABASO"
1659,"Bº ARENE, CARRETERA ERMITA GAZTELUGATXE"
1660,CALLE INTXAUSTI Nº 17
1661,"CASERÍO IBAIGANE, Bº SAN MIGUEL 27"
1662,"CASERÍO ERROTA-BARRI, Bº SAN MIGUEL 27, BIS"
1663,CEMENTERIO MENDILUZ
1664,"ATALDE KALEA 13, 7º (48370)"
1665,"CASERÍO ITXAS AURRE, Bº SAN ANDRÉS"
1666,"Bº ALMIKE, CASERÍO ALBONIGA MAYOR"
1667,"CASERÍO TXOMANE, Bº DEMIKU 12"
1668,"CASERÍO MINTZIRIPE, Bº MAÑU, 10"
1669,ZUBIAUR-TAR KEPA KALEA 39 (48370)
1670,ARTIKE AUZOA 16 (48370)
1671,CL ZUBIAURTAR KEPA 74
1672,AV MATXITXAKO 9-B
1673,ASTERRIKA9
1674,LUGAR BARRIO ERRIBERA 77A  
1675,BERRIATUKO UDALETXEA HERRIKO PLZA 1
1676,BERRIATUKO UDALETXEA HERRIKO PLZA 1
1677,BORDATXO ASTERRIKA AUZOA
1678,ASTERRIKA AUZOA KONDE ETXEBARRI BASERRIA
1679,ASKARTZA BASERRIA
1680,MAGDALENA AUZOA 2B
1681,ASKARTZA BASERRIA
1682,LUGAR BARRIO ERRIBERA 47B  
1683,ELIZBURU
1684,KAKATZA ZARRA BASERRIA
1685,-48710
1686,MERELLUDI AUZOA 2 (48710)
1687,ERRIBERA 88
1688,ERRIBERA AUZOA 92 (48710)
1689,KALEA IBAIONDO 6DUP (48700)
1690,LUGAR BARRIO ASTERRIKA 40A (48710)
1691,LUGAR BARRIO MAGDALENA 2G (48710)
1692,MERELLUDI AUZOA 2 (48710)
1693,ASTERRIKA AUZOA 9 (48710)
1694,ZEHARBIDE KALEA 6 (48710)
1695,ZEHARBIDE 1 
1696,LUGAR BARRIO ERRIBERA 25A (48710)
1697,CL SARRI 1
1698,ASTERRIKA AUZOA 30 (48710)
1699,HERRIBERA 16
1700,EGUREN BASERRIA ASTERRIKA 7
1701,ERRIBERA 16
1702,ASTERRIKA 9
1703,MAGDALENA AUZOA 24 (48710)
1704,ZELAIETA KALEA 15 (48710)
1705,BO MAGDALENA 12
1706,BO ERRIBERA 16-A
1707,BO MAGDALENA 2
1708,LUGAR BARRIO SARRIA 45  
1709,LUGAR BARRIO EITUA 16  
1710,LUGAR BARRIO SALLOBENTE 11  
1711,SARRIA AUZOA 36 A
1712,"EITUA, 7"
1713,"MATZA Nº 2 , 4º IZ"
1714,LUGAR BARRIO SARRIA 45  
1715, BARRIO SARRIA Nº 45  
1716,SALLOBENTE AUZOA 30  
1717,SALLOBENTE AUZOA 24  
1718,LUGAR  SARRIA AUZOA 3B  
1719,LEARRETA-MARKINA ESKOLA (48240)
1720,SALLOBENTE AUZOA 13 (48240)
1721,ANDIKOA AUZOA 32 (48240)
1722,EITUA AUZOA 3  
1723,OKANGO AUZOA 76 (48240)
1724,LUGAR BARRIO OKANGO 31 (48240)
1725,LUGAR BARRIO OLABE 71B (48240)
1726,MARGARITA MATURANA HIRIBIDEA 2 (48240)
1727,GABIOLA KALEA 1 (48240)
1728,LUGAR BARRIO ANDIKOA 18BIS (48240)
1729,BIDEGAIN KALEA 6 (48240)
1730,OKANGO AUZOA 12 (48240)
1731,EITUA AUZOA 16 -17  
1732, SARRIA AUZOA 3B  ERROTETABARRI 
1733,"BARRIO SARRIA, Nº35"
1734,MURGOITIO AUZOA 20  
1735,BARRIO OKANGO Nº51
1736,LUGAR BARRIO OKANGO 2DUP  
1737,LUGAR BARRIO OKANGO 14  
1738,LUGAR BARRIO ANDIKOA 8  
1739,ANDIKOA AUZOA 5  
1740,E-70   
1741,LUGAR  SALLOBENTE 25  
1742,OKANGO AUZOA 63A  
1743,LUGAR BARRIO ANDIKOA 39 (48240)
1744,LUGAR BARRIO ANDIKOA 47 - 50TRI (48240)
1745,ITURRITZA KALEA 54 (48240)
1746,EITUA AUZOA 17 (48249)
1747,PZ EUSKADI 8
1748,LUGAR BARRIO MURGOITIO 2 - 3  (48249)
1749,MAZAGA KALEA 1 (48240)
1750,ABELETXE ETXETALDEA 43 (48240)
1751,EITUA IND. POL. 65 (48240)
1752,-48240
1753,ANDIKOA AUZOA 6 (48240)
1754,MURGOITIO AUZOA 11 (48249)
1755,ELIZONDO PLAZA 8 (48240)
1756,EITUA AUZOA 33 (48249)
1757,MURGUITIO 4
1758,MURGOITIO AUZOA 12 (48249)
1759,EITUA AUZOA 7 (48240)
1760,OLAGORTA
1761,MURGOITIO AUZOA 11 (48249)
1762,MURGOITIO AUZOA 11 (48249)
1763,EITUA IND. POL. 15 (48240)
1764,EITUA IND. POL. 2 (48240)
1765,EITUA AUZOA 33 (48249)
1766,OKANGO 71
1767,ELIZONDO ETXETALDEA 1 (48240)
1768,MATZAGABARRENA AUZOA 19 (48249)
1769,APERRIBAI 20
1770,COLEGIO BENGOETXE
1771,EGIA 16
1772,ZUATZU
1773,HERMANO VICTOR
1774,PASEO AGIRRE LEHENDAKARIAREN 1B (48240)
1775,LEARRETA-MARKINA KALEA 24 (48240)
1776,SARRIA AUZOA 17 (48249)
1777,EITUA AUZOA 48B (48249)
1778,LUGAR BARRIO OKANGO 71A (48240)
1779,ELIZONDO ETXETALDEA 3 (48240)
1780,MARGARITA MATURANA 29C (48249)
1781,MARGARITA NATURANA 29 G
1782,OKANGO SUZOA
1783,OKANGO AUZOA 51 (48240)
1784,ITURRITZA 22 (48240)
1785,OKANGO AUZOA 52 (48240)
1786,LUGAR BARRIO SALLOBENTE 25 (48249)
1787,ABELETXE ETXETALDEA 15 (48240)
1788,OKANGO AUZOA 48 (48240)
1789,ABELETXE ETXETALDEA 15 (48240)
1790,SARRIA AUZOA 1 (48249)
1791,LUGAR BARRIO OKANGO 45 (48240)
1792,ELIZONDO ETXETALDEA 2 (48240)
1793,ANDIKOA AUZOA Nº5
1794,BARRIO SALLOBENTE
1795,ABELETXE AUZOA 51 (48240)
1796,BO OKANGO 40
1797,"ABIÑA ANDONI DEUNA, 1"
1798,"AXPE,32"
1799,"SAN CRISTOBAL, 69 BUSTURIA"
1800,BUSTURIA
1801,AXPE AUZOA 31  
1802,"SAN BARTOLOME, 20"
1803,"AXPE, 26"
1804,"AXPE, 28"
1805,"AXPE, 164- 3º CENTRO"
1806,"AXPE, 28"
1807,"AXPE, 313 BIS PORTAL C-1.º C"
1808,SAN BARTOLOME AUZOA 20B  
1809,AXPE
1810,"SAN BARTOLOME, 54 IZDA."
1811,"AXPE, 55"
1812,AXPE 26
1813,"AXPE, 74"
1814,"AXPE, 55"
1815,"AXPE, 55"
1816,"ABIÑA ANDONI DEUNA, 1"
1817,"AXPE, 65"
1818,"AXPE, 64"
1819,"ALTAMIRA, 31 B"
1820,"AXPE, 113"
1821,"SAN CRISTOBAL, 5A"
1822,"AXPE, 110"
1823,"AXPE, 32 D"
1824,"AXPE, 112"
1825,"AXPE, 1"
1826,"AXPE, 2"
1827,"ALTAMIRA, 20"
1828,"SAN BARTOLOME, 37"
1829,"AXPE, 94"
1830,"AXPE, 139"
1831,"AXPE, 26"
1832,"ALTAMIRA, 53"
1833,"ALTAMIRA, 65"
1834,"SAN BARTOLOME, 38"
1835,AXPE
1836,SAN BARTOLOME
1837,"SAN BARTOLOME, 62"
1838,ABIÑAKO ANDONI DEUNA
1839,"ALTAMIRA, 10"
1840,AXPE
1841,"AXPE, 87"
1842,"AXPE, 28"
1843,"SAN CRISTOBAL,5"
1844,SAN BARTOLOME
1845,SAN BARTOLOME 26
1846,"SAN CRISTOBAL, 80"
1847,"AXPE, 142"
1848,SAN CRISTOBAL
1849,"ALTAMIRA, 53"
1850,"SAN CRISTOBAL, 50"
1851,SAN BARTOLOME
1852,"SAN CRISTOBAL, 78"
1853,"AXPE, 17"
1854,"ALTAMIRA, 11"
1855,"AXPE, 96"
1856,"SAN BARTOLOME, 65"
1857,"SAN BARTOLOME, 20"
1858,SAN BARTOLOME
1859,"SAN BARTOLOME, 56 A"
1860,"SAN BARTOLOME, 56 A"
1861,"AXPE, 110"
1862,SAN BARTOLOME
1863,"AXPE, 11"
1864,"SAN BARTOLOME, 59"
1865,"SAN CRISTOBAL, 14"
1866,SNA BARTOLONE 26
1867,"ALTAMIRA, 22"
1868,"ALTAMIRA, 22"
1869,"SAN BARTOLOME, 23"
1870,"SAN CRISTOBAL, 13-14"
1871,"SAN CRISTOBAL, 25 A"
1872,"AXPE, 95"
1873,"ALTAMIRA, 20"
1874,"AXPE, 85 A"
1875,"AXPE, 120"
1876,"SAN CRISTOBAL, 80 IZDA."
1877,BUSTURIA
1878,"AXPE, 61"
1879,AXPE AUZOA 27 (48350)
1880,SAN BARTOLOME SN
1881,SAN CRISTOBAL 62
1882,AXPE 3
1883,"AXPE, 33"
1884,"AXPE, 27"
1885,"SAN BARTOLOME, 56 A"
1886,"BUSTURIA AXPE, 96"
1887,"ALTAMIRA, 30 BUSTURIA"
1888,BO SAN CRISTOBAL 66-A
1889,KALEA ARESTI 10C  
1890,UGALDEGUREN 1
1891,GANGUREN 1- 4ºA
1892,C/ LARRAURI N. 1
1893,LUGAR BARRIO SAN CRISTOBAL 53B  
1894,C/ LARRAURI Nº 1
1895,SAN ISIDRO 11-A
1896,SAN ISIDRO 11-A
1897,SAN ISIDRO 11-A
1898,ARTEAGA 31
1899,MUNGIALDE 37
1900,LARRAURI 1
1901,LARRAURI 1
1902,Bº ARTEAGA
1903,"C/ ARESTI, S/N."
1904,SAN ISIDRO N. 9
1905,GERNIKAKO ARBOLA 37
1906,KALEA LARRAURI 1A (48160)
1907,KALEA ERREKALDE 1002 (48160)
1908,POLÍGONO PARQUE TECNOLÓGICO
1909,UGALDEGUREN 1
1910,URBASA GUNEA
1911,ASTIKENE
1912,BARRIO DE SAN ESTEBAN 15B  
1913,BARRIO SAN CRISTOBAL Nº20  
1914,BI 3481
1915,SAN ESTEBAN AUZOA 41 (48180)
1916,BARRIO SAN CRISTÓBAL 29 (48160)
1917,ZARANDOA KALEA 12 (48160)
1918,LUGAR BARRIO SAN ISIDRO 7TRI (48160)
1919,LUGAR BARRIO SAN ISIDRO 7TRI (48160)
1920,BARRIO SAN ESTEBAN 12D (48160)
1921,GOIKOGANE BIDEA  (48160)
1922,LUGAR BARRIO SAN CRISTOBAL 53B (48160)
1923,BARRIO SAN ESTEBAN 36B (48160)
1924,GERNIKAKO ARBOLA HIRIBIDEA 14 (48160)
1925,ZARANDOA KALEA 34 (48160)
1926,LUGAR BARRIO SAN ISIDRO 44W (48160)
1927,ASUA IBAIA HIRIBIDEA  (48160)
1928,URBASA 
1929,URIBE KALEA 2 (48160)
1930,BUTROI
1931,ARTEAGA
1932,MUNGIALDE 15
1933,URBASA
1934,GANEKOGORTA
1935,BARRIO SANTIMAMI AUZOA 4007 (48170)
1936,URBASA
1937,IDORSOLO KALEA 1 (48170)
1938,IDORSOLO KALEA 13 (48160)
1939,ASTINTZE KALEA 8 (48160)
1940,N-633  (48160)
1941,GP URBASA GUNEA 
1942,AV TXORIERRIKO ETORBIDEA 1
1943,CL LAINOMENDI KALEA 2
1944,OBA-BEKOA AUZOA 5  
1945,LUGAR BARRIO IBARRA 21A  
1946,MUNETXA AUZOA 4  
1947,BARRIO ILUMBE 5  
1948,OLAKOETXE AUZOA
1949,BIKARREGI AUZOA 6
1950,ITURRIOTZ BARRENA
1951,ARTABE AUZOA
1952,AMANTEGI
1953,ZAMAKOLA
1954,SANTURU
1955,IBARRA 17
1956,LUGAR BARRIO ARTABE 14A (48141)
1957,"MUNETXA,2"
1958,"BERNAOLA, 3"
1959,"OBA-GOIKOA, 11"
1960,SANTURU AUZOA
1961,BARRIO UGARANA 4  
1962,LUGAR BARRIO ARTABE 11A (48141)
1963,ITURRIOTZ AUZOA 12 (48141)
1964,BARGONDIA AUZOA 4 (48141)
1965,BARGONDIA BEKOA 14
1966,SAN BLAS AUZOA 2 (48144)
1967,LUGAR BARRIO OBA 7B (48141)
1968,-48141
1969,ITURRIOTZ AUZOA 6 (48141)
1970,LUGAR BARRIO ARTABE 14B (48141)
1971,ITURRIOTZ BARRENA 
1972,AROSTEGIETA
1973,OBA BEKOA 
1974,ELEXALDE
1975,LANDABURU
1976,ITURRIOTZ BARRENA
1977,AROSTEGIETA
1978,"ITURRIOTZ AUZOA, 4"
1979,LANDABURU 5
1980,LAMINDAO
1981,BI-4545 1 (48141)
1982,LANDAXOLA 
1983,BARGONDIA BEKOA 8
1984,JOSE MARIA DE IPARRAGIRRE KALEA 4  
1985,"GASTEIZBIDEA1, 3"
1986,RAMON RUBIAL 5 1ºD
1987, ARRILUZEAGA KALEA  5   03 A
1988,SAN ROKE 11
1989,FAUSTEBIDE 15   
1990,FAUSTEBIDE 15
1991,GASTEIZ BIDEA 10 2ºB
1992,INTXAURRONDO 4
1993,SAN IGNACIO 3A
1994,MONTEVIDEO ETORBIDEA 5C  
1995,LAUBIDETA KALEA Nº 4
1996,SAN ROKEBIDE N7
1997,JUAN DE OLAZARAN 17
1998,DURANGO
1999,ASKATASUN ETORBIDEA    17   --02--IZQ 
2000,PLAZA PINONDO
2001,JOSE MARIA IPARRAGUIRRE
2002,MURUETATORRE
2003,FAUSTE BEKOA AUZUNEA ETXETALDEA 3A  
2004,"ZUBIAURREA 11, 3º, B"
2005,EGUZKITZA AUZOA AUZOA 16  
2006,LAUBIDETA 6
2007,KURUTZIAGA
2008,JOSE MIEL BARANDIARAN
2009,TABIRA KALEA 60 (48200)
2010,SAN IGNACIO 6
2011,ZIARMENDIETA
2012,SAN IGNACIO 3B - 6A
2013,ARRIPAUSUETA
2014,ANTSO ESTEGIZ ZUMARDIA 2C (48200)
2015,"ANTSO ESTEGIZ, 25"
2016,OIÑITURRI Nº 2
2017,MOMOTXO KALEA 3
2018,ARRILUZEA
2019,GALTZARETA 13
2020,TXIBITENA
2021,"B.º EL CERCO, N.º 2"
2022,"B.º MONTELLANO- ACABAJO, N.º 4"
2023,"SAN PEDRO, N.º 19 - 2.º IZDA"
2024,"B.º LARREA, N.º 3"
2025,"MONTELLANO-ACABAJO, N.º 3"
2026,"B.º JARRULLADA, N.º 5"
2027,"B.º GARAY, S/N.º"
2028,"B.º LARREA, N.º 1"
2029,"Bº CASA NUEVA, Nº 5"
2030,LA ACEÑA AUZOA 16  
2031,LLANO AUZOA 42  
2032,ASKATASUN 23 2 E
2033,TXIBITENA
2034,GALTZARETA 13
2035,KANPATORROSTETA KALEA 9 (48200)
2036,NAFARROA PLAZA
2037,ARTEKALEA
2038,PINONDO PLAZA 7 (48200)
2039,SANROKE 9
2040,MURUETATORRE 3A
2041,PINONDO
2042,ERRETENTXU
2043,PINONDO 5
2044,INTXAURRONDO
2045,ESTANISLAO LABAIRU 
2046,SAN AGUSTINALDE 10
2047,JUAN DE OLAZARAN
2048,INTXAURRONDO KALEA 34
2049,MURUETATORRE 3-4
2050,GASTEIZ BIDEA 
2051,EGUZKITZA 12
2052,EGUZKITZA 12
2053,"SAN IGNACIO 6A, 6ºA"
2054,ARTEKALE 22
2055,SAN IGNACIO 4
2056,ZUBIAURREA Nº2
2057,NAFARROA PLAZA
2058,SAN ROKE
2059,TABIRABIDE 60 PISCINAS MUNICIPALES
2060,ZIRITZA
2061,SANROKEBIDE 24
2062,ARTXETAGAN Nª2 5 DCH
2063,LUGAR BARRIO ARTABILLA 8A (48200)
2064,OIZ
2065,KURUTZIAGA 52
2066,GASTEIZ BIDEA
2067,"EGUZKITZA AUZOA, 1"
2068,SANROKEBIDE 27
2069,EGUZKITZA AUZOA 14
2070,ARTABILLA AUZOA AUZOA 6 (48200)
2071,ERRETENTXU 26 5ºB
2072,AZOKA Nº1
2073,SAN ROKE 47
2074,INTXAURRONDO KALEA 7
2075,IBAIZABAL 4A
2076,MURUETATORRE 2G
2077,HERRIKKO GUDARIEN
2078,"HERRIKO GUDARIEN, 1"
2079,"MURUETATORRE, 2C"
2080,TABIRAL Nº56
2081,EGUZKITZA AUZOA 12 B
2082,SAN ROKE 27
2083,MOMOTXOETA
2084,"HERRIKO GUDARIEN 4, 7A"
2085,SAN IGNACIO 2A 9G
2086,TABIRA
2087,ZUMAR KALEA 25
2088,ZABALE 11
2089,ZUMAR KALEA 21
2090,MADALENOSTE 2
2091,ZABALE 7
2092,BERNARDO GABIOLA Nº1
2093,"RAMÓN RUBIAL 3, 5º C"
2094,SANTA LUCIA 1
2095,GASTEIZ BIDEA Nº 20
2096,MOMOTXOETA 3
2097,ZABALE
2098,SANROKEBIDE Nº5
2099,JUAN ANTONIO AGIRRE 10-4ºA
2100,GEPRO SYSTEMS DURANGO
2101,ZIRARMENDIETA  7
2102,AV HEGOALDE ETORBIDEA 2
2103,GP SAN IGNAZIO AUZUNEA 9-D
2104,CL ZABALEKOA KALEA 11
2105,CL INTXAURRONDO KALEA 54
2106,CL ANBROSIO MEABE KALEA 5
2107,PZ EZKURDI PLAZA 
2108,GIKOBIDEA 11
2109,   
2110,URTZAGA AUZOA 1
2111,GOIKOBIDEA Nº11 3º
2112,KAI KALEA S/N  
2113,LUGAR BARRIO MENDAZONA 4C  
2114,-48287
2115,LUGAR BARRIO OLAGORTA 3003  
2116,LUGAR BARRIO ELEXALDE 47A  
2117,BI-4482 2  
2118,   
2119,NAGUSIA 5
2120,GOIKO BIDEA 6  
2121,BIDEA GOIKO 8BIS  
2122,GOIKO BIDEA 6  
2123,BARRIO ALLONA 1-2 (48287)
2124,ASTEI (OLAGORTA)
2125,EA
2126,BEDARONA
2127,MENDIOLA
2128,BELETXE
2129,NAGUSIA
2130,CEMENTERIO
2131,LUGAR BARRIO MENDIOLA 7A (48287)
2132,BI-4482 52 (48287)
2133,BI-8431
2134,BI-3481
2135,BIDEBARRI
2136,BELEN 8
2137,BEDARONA 8
2138,   
2139,ALTXIKAR 14
2140,KURTZIA
2141,NATXITUA
2142,ALTXIKAR 16
2143,BIDEBARRI 15
2144,MENDIOLA AUZOA 12
2145,"ARITZA 13, 3º"
2146,ALTXIKAR 18 4°PISO MANO E
2147,"BIDEBARRI 12, 3º"
2148,BARRIO OLAGORTA S/N
2149,ANGELUTXU AUZOA 8
2150,ANGELUTXU AUZOA 8
2151,OLAGORTA S/N
2152,OLAGORTA AUZOA
2153,"BIDEKALEA, 14"
2154,BIDEKALEA KALEA 9  
2155,"C/ NAGUSIA, 22"
2156,"BIDEKALEA, 9"
2157,BIDEKALEA KALEA 9  
2158,"C/ PORTU, S/N"
2159,"BIDEKALEA, 1"
2160,"BIDEKALEA, 9"
2161,NAGUSIA 5
2162,PANTEON 
2163,"NAGUSIA, 51-BIS"
2164,"NAGUSIA, 51-BIS"
2165,LEIZ-MIÑOTA AUZOA 16  
2166,"ARGIÑETA ETORBIDEA, 20"
2167,ARESTIORTU KALEA 2
2168,TXANBERI
2169,NIZETO URKIZU
2170,ERREKAZABALETA
2171,CALLE KURUTZONDO
2172,LUGAR BARRIO SAN AGUSTIN 4DUP  
2173,LEKERIKETA
2174,LUGAR BARRIO BERRIO 1  
2175,URKIZUARAN KALEA 10  
2176,ELIZBURU 44 3º
2177,SAN JUAN 6
2178,LABAKUA KALEA 9  
2179,ELIZBURU 42
2180,ELIZBURU 44
2181,SAN JUAN
2182,ZENITA AUZOA 2  
2183,"BERRIO-OTXOA, 25-3º"
2184,BARRIO GAZTAÑETA
2185,SAN AGUSTIN
2186,ARE
2187,KALEA GOIETA 14A  
2188,ALDAPE 21
2189,ELIZBURU KALEA 18  
2190,MONTORRA KALEA
2191,IBARRA Nº 1-3
2192,URARKA KALEA 14  
2193,ELIZBURU 48
2194,ZENITA AUZOA 2  
2195,ARESTIORTU KALEA 69  
2196,ESTEIBARLANDA KALEA 13-11 (48230)
2197,SAN ROKE
2198,AVDA LOURDES 14
2199,BETSAIDE KALEA 9A (48230)
2200,GAZETA. 8
2201,LEIZ-MIÑOTA 4
2202,SAN JOSE
2203,TORREKOBIDE
2204,SAN ROKE
2205,BESAIDE
2206,URKIZUARAN KALEA 39 (48230)
2207,KALEA BENTABARRI 12G (48291)
2208,IGURIA
2209,SAN FAUSTO
2210,TXANBERRI
2211,ARRASATE ETORBIDEA 5
2212,SAN ROKE KALEA 5 (48230)
2213,SAN FAUSTO
2214,TXANBERI
2215,SAN PIO
2216,ARGIÑETA 
2217,ZENITA 18
2218,LEKERIKETA N5
2219,LEKERIKETA N11
2220,ARGIÑETA Nº 10
2221,SAN ELOY
2222,SAN FAUSTO 19
2223,"GOIETA, 48"
2224,"PADURA 5, 1A"
2225,GAZETA Nº 2
2226,ZENITA Nº 20
2227,JULIAN ARIÑO KALEA 8 (48230)
2228,ZENITA
2229,GALARTZAURIA KALEA 15 (48230)
2230,LEIZ-MIÑOTA AUZOA 16 (48230)
2231,N-636  (48230)
2232,IGURIA
2233,URKIZUARAN S\N
2234,"ARRASATE ETORBIDEA, 4"
2235,LEIZ-MIÑOTA
2236,BUZKANTZ 
2237,SAN AGUSTIN
2238,AMILLETA Nº1 4º DR
2239,SAN AGUSTIN Z/G
2240,MORGAONDO
2241,SAN AGUSTIN
2242,"GAITOKA AUZOA, 1"
2243,POL.INDUSTRIAL SAN AGUSTIN
2244,MORGAONDO
2245,SANAGUSTIN
2246,GAZETA 9
2247,GAZTAÑETA 11
2248,"GAZETA, Nº9"
2249,BERRIO OTXOA
2250,MUSIKO ARRIOLA
2251,LEKERIKETA 9
2252,ELORRIO
2253,IBARRA Nº28-4ºD
2254,"LEIZ-MIOTA, 26"
2255,MORGAONDO
2256,"GAZTAÑETA, 5"
2257,"PADURA, 18"
2258,IGURIA 3
2259,ARAUNETA 4
2260,SAN FAUSTO 5
2261,GAZETA
2262,GAZETA
2263,GAZETA
2264,ELORRIO
2265,ELORRIO
2266,CL TXANBERI 16-T
2267,CL URKIZUARAN 35-003
2268,MARTXUNE-GORRITXU KALEA 2  
2269,CARRETERA AKARLANDA ERREPIDEA 7DUP  
2270,"FANO AUZOA, 15"
2271,BARRIO LUIS LANDECHO 9  
2272,UPV LEIOA
2273,ASKORBEKO-UGARTE BIDEA 7
2274,   
2275,DEGOLLENE-ANDRAMARITURRI KALEA
2276,AXPEKO ERRIBERA ETORBIDEA
2277,AKARLANDA ERREPIDEA 11  
2278,AKARLANDA ERREPIDEA 11  
2279,UNIBERSITATEKO ERREPIDEA 6C  
2280,AXPEKO ERRIBERA ETORBIDEA
2281,ARANA AUZOA 
2282,PEDRO ELEJALDE
2283,DEGOLLENE-ANDRAMARITURRI
2284,ALTZAGA GOIKOA ERREPIDEA 
2285,BARRIO UGARTE Nº2
2286,DEMOSTI BIDEA S/N
2287,MARTIARTU-MARTUGOITI KALEA   
2288,DESANEXION KALEA 4  
2289,BIDEA KANTERA 8DUP  
2290,DESANEXION
2291,DEMOSTI-ARONDO BIDEA
2292,C/ MESO Nº 66A
2293,JOSE URREA 8
2294,ASKORBEASKOA-PEÑAS BIDEA 2
2295,ALTZAGA GOIKOA ERREPIDEA 82  
